bb;bb;icount;execcount;ilen;len;nhmnp1;nhmnp1err;nhmnp1werr;nhmlbr2;nhmlbr2err;nhmlbr2werr;nhmlbr1;nhmlbr1err;nhmlbr1werr;nhmnp2;nhmnp2err;nhmnp2werr
664;664;2;1;2;9;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
673;673;1;1;1;5;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
678;678;1;1;1;5;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
683;683;2;1;2;5;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
768;768;1;1;1;6;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
800;800;9;9;1;6;0;1.0;9.0;0.0;1.0;9.0;0.0;1.0;9.0;0;1.0;9.0
896;896;11;1;11;41;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
940;940;4;1;4;16;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
958;958;2;1;2;5;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
976;976;6;1;6;21;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
997;997;2;1;2;2;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1024;1024;11;1;11;37;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1061;1061;2;1;2;2;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1088;1088;2;1;2;9;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1097;1097;11;1;11;41;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1138;1138;4;1;4;24;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1162;1162;3;1;3;12;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1174;1174;1;1;1;5;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1179;1179;3;1;3;10;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1189;1189;2;1;2;10;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1199;1199;5;1;5;14;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1216;1216;5;1;5;14;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1230;1230;3;1;3;15;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1245;1245;2;1;2;10;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1272;1272;2;1;2;6;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1280;1280;4;2;2;3;0;1.0;2.0;0.0;1.0;2.0;0.0;1.0;2.0;0;1.0;2.0
1296;1296;10;1;10;46;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
1968;1968;5;1;5;23;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
2096;2096;31460000026;2420000002;13;61;2681381934;0.108009062721;261381932.0;2299713333.33;0.0497052349451;120286668.667;2299713333.33;0.0497052349451;120286668.667;2681381934;0.108009062721;261381932.0
2157;2157;9680000008;2420000002;4;15;2846500000;0.176239668449;426499998.0;2299706666.67;0.0497079897661;120293335.333;2299706666.67;0.0497079897661;120293335.333;2846500000;0.176239668449;426499998.0
2172;2172;12100000010;2420000002;5;20;2359200000;0.0251239677478;60800002.0;2299706666.67;0.0497079897661;120293335.333;2299706666.67;0.0497079897661;120293335.333;2359200000;0.0251239677478;60800002.0
2192;2192;1210000001;1210000001;1;2;0;1.0;1210000001.0;1211346666.67;0.00111294683104;1346665.66667;1211346666.67;0.00111294683104;1346665.66667;0;1.0;1210000001.0
2200;2200;3630000003;1210000001;3;10;1108665558;0.0837474734845;101334443.0;1182360000.0;0.0228429760142;27640001.0;1182360000.0;0.0228429760142;27640001.0;1108665558;0.0837474734845;101334443.0
2210;2210;4840000004;1210000001;4;15;990500000;0.181404959354;219500001.0;1182360000.0;0.0228429760142;27640001.0;1182360000.0;0.0228429760142;27640001.0;990500000;0.181404959354;219500001.0
2225;2225;6050000005;1210000001;5;15;1858800000;0.536198345838;648799999.0;1182360000.0;0.0228429760142;27640001.0;1182360000.0;0.0228429760142;27640001.0;1858800000;0.536198345838;648799999.0
2256;2256;9;1;9;24;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
2280;2280;3;1;3;13;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
2293;2293;2;1;2;10;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
2303;2303;6;1;6;31;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
2334;2334;4;1;4;18;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
2352;2352;8;1;8;41;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
2393;2393;3;1;3;15;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
2416;2416;3630000003;1210000001;3;10;233333100;0.807162727432;976666901.0;1287180000.0;0.0637851230878;77179999.0;1287180000.0;0.0637851230878;77179999.0;233333100;0.807162727432;976666901.0
2426;2426;19360000016;2420000002;8;41;2228250000;0.079235537951;191750002.0;2498533333.33;0.0324517897803;78533331.3333;2498533333.33;0.0324517897803;78533331.3333;2228250000;0.079235537951;191750002.0
2467;2467;7260000006;2420000002;3;9;2865997134;0.184296335385;445997132.0;2499573333.33;0.0328815418461;79573331.3333;2499573333.33;0.0328815418461;79573331.3333;2865997134;0.184296335385;445997132.0
2476;2476;2420000002;1210000001;2;9;0;1.0;1210000001.0;1211346666.67;0.00111294683104;1346665.66667;1211346666.67;0.00111294683104;1346665.66667;0;1.0;1210000001.0
2485;2485;3630000003;1210000001;3;10;1192665474;0.0143260553601;17334527.0;1211346666.67;0.00111294683104;1346665.66667;1211346666.67;0.00111294683104;1346665.66667;1192665474;0.0143260553601;17334527.0
