dso_id;dso_id;dso;dso_fname;md5sum;pinbase
1;1;[kernel.kallsyms];[kernel.kallsyms];0;0
2;2;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/drivers/md/dm-mod.ko;dm-mod.ko;0;0
3;3;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/drivers/ata/libahci.ko;libahci.ko;0;0
4;4;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/drivers/acpi/video.ko;video.ko;0;0
5;5;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/lib/crc-itu-t.ko;crc-itu-t.ko;0;0
6;6;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/drivers/gpu/drm/drm_kms_helper.ko;drm_kms_helper.ko;0;0
7;7;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/drivers/gpu/drm/i915/i915.ko;i915.ko;0;0
8;8;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/drivers/ata/ahci.ko;ahci.ko;0;0
9;9;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/drivers/cpufreq/mperf.ko;mperf.ko;0;0
10;10;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/drivers/firewire/firewire-core.ko;firewire-core.ko;0;0
11;11;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/lib/crc-t10dif.ko;crc-t10dif.ko;0;0
12;12;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/drivers/firewire/firewire-ohci.ko;firewire-ohci.ko;0;0
13;13;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/drivers/scsi/sd_mod.ko;sd_mod.ko;0;0
14;14;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/fs/mbcache.ko;mbcache.ko;0;0
15;15;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/fs/jbd2/jbd2.ko;jbd2.ko;0;0
16;16;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/drivers/cpufreq/freq_table.ko;freq_table.ko;0;0
17;17;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/drivers/pps/pps_core.ko;pps_core.ko;0;0
18;18;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/fs/ext4/ext4.ko;ext4.ko;0;0
19;19;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/drivers/ptp/ptp.ko;ptp.ko;0;0
20;20;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/sound/core/snd-page-alloc.ko;snd-page-alloc.ko;0;0
21;21;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/drivers/net/ethernet/intel/e1000e/e1000e.ko;e1000e.ko;0;0
22;22;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/sound/soundcore.ko;soundcore.ko;0;0
23;23;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/sound/core/snd.ko;snd.ko;0;0
24;24;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/sound/core/seq/snd-seq-device.ko;snd-seq-device.ko;0;0
25;25;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/sound/core/snd-hwdep.ko;snd-hwdep.ko;0;0
26;26;/lib/modules/3.11.6-1.el6.elrepo.x86_64/kernel/sound/core/snd-timer.ko;snd-timer.ko;0;0
